raw,sentids,split,filename,img_id
"[""Two young guys with shaggy hair look at their hands while hanging out in the yard."", ""Two young, White males are outside near many bushes."", ""Two men in green shirts are standing in a yard."", ""A man in a blue shirt standing in a garden."", ""Two friends enjoy time spent together.""]","[0, 1, 2, 3, 4]",train,1000092795.jpg,0
"[""Several men in hard hats are operating a giant pulley system."", ""Workers look down from up above on a piece of equipment."", ""Two men working on a machine wearing hard hats."", ""Four men on top of a tall structure."", ""Three men on a large rig.""]","[5, 6, 7, 8, 9]",train,10002456.jpg,1
"[""A child in a pink dress is climbing up a set of stairs in an entry way."", ""A little girl in a pink dress going into a wooden cabin."", ""A little girl climbing the stairs to her playhouse."", ""A little girl climbing into a wooden playhouse."", ""A girl going into a wooden building.""]","[10, 11, 12, 13, 14]",train,1000268201.jpg,2
"[""Someone in a blue shirt and hat is standing on stair and leaning against a window."", ""A man in a blue shirt is standing on a ladder cleaning a window."", ""A man on a ladder cleans the window of a tall building."", ""Man in blue shirt and jeans on ladder cleaning windows"", ""A man on a ladder cleans a window""]","[15, 16, 17, 18, 19]",train,1000344755.jpg,3
"[""Two men, one in a gray shirt, one in a black shirt, standing near a stove."", ""Two guy cooking and joking around with the camera."", ""Two men in a kitchen cooking food on a stove."", ""Two men are at the stove preparing food."", ""Two men are cooking a meal.""]","[20, 21, 22, 23, 24]",train,1000366164.jpg,4
"[""Two people in the photo are playing the guitar and the other is poking at him."", ""A man in green holds a guitar while the other man observes his shirt."", ""A man is fixing the guitar players costume."", ""A guy stitching up another man's coat."", ""The two boys playing guitar""]","[25, 26, 27, 28, 29]",train,1000523639.jpg,5
"[""A man sits in a chair while holding a large stuffed animal of a lion."", ""A man is sitting on a chair holding a large stuffed animal."", ""A man completes the finishing touches on a stuffed lion."", ""A man holds a large stuffed lion toy."", ""A man is smiling at a stuffed lion""]","[30, 31, 32, 33, 34]",train,1000919630.jpg,6
"[""A girl is on rollerskates talking on her cellphone standing in a parking lot."", ""A trendy girl talking on her cellphone while gliding slowly down the street."", ""A young adult wearing rollerblades, holding a cellular phone to her ear."", ""There is a young girl on her cellphone while skating."", ""Woman talking on cellphone and wearing rollerskates.""]","[35, 36, 37, 38, 39]",train,10010052.jpg,7
"[""An asian man wearing a black suit stands near a dark-haired woman and a brown-haired woman."", ""Three people are standing outside near large pipes and a metal railing."", ""A young woman walks past two young people dressed in hip black outfits."", ""A woman with a large purse is walking by a gate."", ""Several people standing outside a building.""]","[40, 41, 42, 43, 44]",train,1001465944.jpg,8
"[""Two men in Germany jumping over a rail at the same time without shirts."", ""Two youths are jumping over a roadside railing, at night."", ""Boys dancing on poles in the middle of the night."", ""Two men with no shirts jumping over a rail."", ""Two guys jumping over a gate together""]","[45, 46, 47, 48, 49]",train,1001545525.jpg,9
"[""Five ballet dancers caught mid jump in a dancing studio with sunlight coming through a window."", ""Ballet dancers in a studio practice jumping with wonderful form."", ""Five girls are leaping simultaneously in a dance practice room."", ""Five girls dancing and bending feet in ballet class."", ""A ballet class of five girls jumping in sequence.""]","[50, 51, 52, 53, 54]",train,1001573224.jpg,10
"[""Three young men and a young woman wearing sneakers are leaping in midair at the top of a flight of concrete stairs."", ""Four casually dressed guys jumping down a stairway outdoors with a stone wall behind them."", ""Four guys three wearing hats one not are jumping at the top of a staircase."", ""Four men with excited faces are jumping down from the top of stairs."", ""Four people are jumping from the top of a flight of stairs.""]","[55, 56, 57, 58, 59]",train,1001633352.jpg,11
"[""A black dog and a white dog with brown spots are staring at each other in the street."", ""A black dog and a tri-colored dog playing with each other on the road."", ""Two dogs of different breeds looking at each other on the road."", ""Two dogs on pavement moving toward each other."", ""A black dog and a spotted dog are fighting""]","[60, 61, 62, 63, 64]",train,1001773457.jpg,12
"[""A man with reflective safety clothes and ear protection drives a John Deere tractor on a road."", ""John Deere tractors cruises down a street, while the driver wears easy to see clothing."", ""A man in a neon green and orange uniform is driving on a green tractor."", ""A man in a tractor wearing headphones driving down a paved street."", ""A man driving a John Deere tractor on a main road in the country.""]","[65, 66, 67, 68, 69]",train,1001896054.jpg,13
"[""Some women are standing in front of a bus with buildings behind it."", ""Several women stand on a city street with tall buildings."", ""A group of women are standing in front of a bus."", ""Several women wait outside in a city."", ""Women are standing outside""]","[70, 71, 72, 73, 74]",train,100197432.jpg,14
"[""A young woman with dark hair and wearing glasses is putting white powder on a cake using a sifter."", ""A lady in a black top with glasses is sprinkling powdered sugar on a bundt cake."", ""A woman wearing glasses sprinkles powdered sugar onto her bundt cake."", ""Girl in black jacket sifting powdered sugar over a chocolate cake."", ""A standing woman holds a pan over a cake.""]","[75, 76, 77, 78, 79]",train,100207720.jpg,15
"[""A small girl in the grass plays with fingerpaints in front of a white canvas with a rainbow on it."", ""A little girl covered in paint sits in front of a painted rainbow with her hands in a bowl."", ""There is a girl with pigtails sitting in front of a rainbow painting."", ""A little girl is sitting in front of a large painted rainbow."", ""Young girl with pigtails painting outside in the grass.""]","[80, 81, 82, 83, 84]",train,1002674143.jpg,16
"[""A man sleeping on a bench outside with a white and black dog sitting next to him."", ""A man lays on the bench to which a white dog is also tied."", ""Man laying on bench holding leash of dog sitting on ground"", ""A shirtless man lies on a park bench with his dog."", ""A man lays on a bench while his dog sits by him.""]","[85, 86, 87, 88, 89]",train,1003163366.jpg,17
"[""A group of adults, inside a home, sitting on chairs arranged in a circle, playing a type of musical instruments."", ""Five musicians, a man and four women, practicing sheet music (using flutes ) in a living room."", ""People gathered in a circle, some holding musical instruments."", ""People gathered in a room to talk about their favorite tunes."", ""Five people are sitting in a circle with instruments.""]","[90, 91, 92, 93, 94]",train,1003420127.jpg,18
"[""Two women, both wearing glasses, are playing clarinets and an elderly woman is playing a stringed instrument."", ""At least four instrumentalists play clarinets and other instruments in a curtained room."", ""Four women in a living room, three of which are clearly playing a musical instrument."", ""A bunch of elderly women play their clarinets together as they read off sheet music."", ""A group of four women, are performing music on their instruments.""]","[95, 96, 97, 98, 99]",train,1003428081.jpg,19
"[""A person in gray stands alone on a structure outdoors in the dark."", ""A large structure has broken and is laying in a roadway."", ""A man in a gray coat is standing on a washed out bridge."", ""A man stands on wooden supports and surveys damage."", ""A man in a jacket and jeans standing on a bridge.""]","[100, 101, 102, 103, 104]",train,100444898.jpg,20
"[""A man in a white t-shirt looks toward the camera surrounded by a crowd near a metro station."", ""A large crowd of people stand outside in front of the entrance to a Metro station."", ""A group of people are walking through a city street."", ""A crowd is portrayed near a metro station."", ""Crowd standing outside a metro area.""]","[105, 106, 107, 108, 109]",train,1005216151.jpg,21
